Course Id ,title,training_link,details
BA-001,Migration Readiness Assessment,https://explore.skillbuilder.aws/learn/course/10058/aws-partnercast-apn-headstart-migration-assess-enablement-series-2-of-4-business,"MRA tool, the prescriptive guidance for executing the Migration Readiness Assessment, while showcasing an example"
BA-002,AWS Application Discovery Service and AWS Migration Hub,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/14948/discovering-applications-to-migrate-by-using-aws-application-discovery-services-ads-amazon,"AWS Application Discovery Service, customers can plan migration projects by gathering information about on-premises data centers. The Application Discovery Service agents collect configuration, usage, and behaviour data from servers about the workloads they run"
BA-003,Migration Evaluator,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/2785/migration-evaluator-overview,Migration Evaluator quickly delivers optimized cost-modeling scenarios for your workloads on Amazon Web Services (AWS)
BA-004,Migration Portfolio Assessment,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/18796/aws-partnercast-building-business-casestco-using-mpa-tool-technical,"Portfolio assessment is the process of discovery, identification, classification and grouping of IT infrastructure and applications, to estimate the feasibility, effort, cost, tools and resources needed for migration to Amazon Web Services"
BA-005,Storage Assessment,https://calendar.smartsheet.com/calendars/published/434eab0c-eb30-4965-a2bc-9bf6bd0360f6,"Storage Assessment is a complimentary offering that provides automated discovery of your customer's on-premises File (NFS/SMB), Block and Object storage workloads with data-driven mapping to recommended AWS Storage services and their respective tiers based on performance and capacity profiles"
BA-006,Database Discovery and analysis,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/12926/aws-partnercast-partner-dbcon-2022-database-migrations-a-closer-look-at-aws-dms-fleet-advisor-technical;https://calendar.smartsheet.com/calendars/published/434eab0c-eb30-4965-a2bc-9bf6bd0360f6,AWS Database Migration Service (AWS DMS) helps you migrate databases and analytics systems to AWS quickly and securely
BA-007,Application Modernisation,https://calendar.smartsheet.com/calendars/published/434eab0c-eb30-4965-a2bc-9bf6bd0360f6;https://calendar.smartsheet.com/calendars/published/434eab0c-eb30-4965-a2bc-9bf6bd0360f6,Modernize existing application or legacy system to be agile or with extendable new tech
BA-008,"Cloud Economics, Optimization and Licensing Assessment (OLA)",https://explore.skillbuilder.aws/learn/course/internal/view/elearning/1099/aws-partner-cloud-economics,"Business value and cloud financial management to help your customers realize the economic benefits of the AWS Cloud. The lessons cover the AWS Cloud Value Framework pillars, cloud financial management key concepts, and customer best practices."
BA-009,Modernization Accelerators,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/18425/modernization-eba-modax,Deliver a Modernization EBA (ModAx) engagement with customers. Align targeted business outcomes with modernization pathways. Use modernization pathways to design target-state architecture and enablement plans.
BA-010,Cloud Native Accelerators,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/18534/cloud-native-accelerator-can,"Deliver the Cloud Native Accelerator (CNA) program to customers, including Executive and Planning and Strategy tracks and technical modules."
