"App_ID,App_Name,App_Category,App_Type,Business_Function,Primary_Language,Database_Dependencies,Middleware_Dependencies,Integration_Dependencies,Data_Store_Type,Primary_Infra_ID,Integrated_Apps,Environment,Business_Unit,Vendor_Name,Criticality,SLA_Tier,Owner_Team"
"APP-HC-001,Electronic Health Records (EHR),Home Grown,Web Application,Clinical Operations,Java 17 / Angular 14,Oracle 19c,JBoss EAP 7.4 / Apache Kafka 3.2,REST API / HL7 FHIR R4,RDBMS,INFRA-HC-002,APP-HC-002|APP-HC-007|APP-HC-008|APP-HC-010,PRODUCTION,Clinical Services,N/A,Critical,Tier 1,Clinical IT"
"APP-HC-002,Patient Portal,Home Grown,Web Application,Patient Engagement,React 18 / Node.js 18,PostgreSQL 15,Nginx 1.24 / Redis 7.0,REST API / OAuth 2.0 / HL7 FHIR R4,RDBMS|Cache,INFRA-HC-004,APP-HC-001|APP-HC-008|APP-HC-011,PRODUCTION,Digital Health,N/A,Critical,Tier 1,Digital Health Team"
"APP-HC-003,Clinical Data Warehouse,Home Grown,Batch Processing,Analytics,Python 3.11 / Scala 2.13,PostgreSQL 15 / MongoDB 6.0,Apache Spark 3.4 / Apache NiFi 1.21,JDBC / ODBC / HL7 FHIR R4,RDBMS|NoSQL|Object,INFRA-HC-009,APP-HC-001|APP-HC-006|APP-HC-007|APP-HC-013,PRODUCTION,Health Intelligence,N/A,Critical,Tier 1,Data Engineering"
"APP-HC-004,Pharmacy Management System,Third Party,Monolithic Application,Pharmacy,Java 11,Oracle 19c,Apache Tomcat 9 / IBM MQ 9.2,SOAP / HL7 v2.8 / REST API,RDBMS,INFRA-HC-002,APP-HC-001|APP-HC-007|APP-HC-015,PRODUCTION,Pharmacy Services,McKesson,High,Tier 2,Pharmacy IT"
"APP-HC-005,Radiology Information System (RIS),Legacy,Client-Server Application,Radiology,C# 6.0 / .NET 4.6,MS SQL Server 2019,IIS 10 / MSMQ,DICOM 3.0 / HL7 v2.8 / REST API,RDBMS|File,INFRA-HC-003,APP-HC-001|APP-HC-009|APP-HC-010,PRODUCTION,Radiology,Sectra,High,Tier 2,Radiology IT"
"APP-HC-006,Laboratory Information System (LIS),Legacy,Monolithic Application,Pathology & Labs,Java 8,MS SQL Server 2017,WebLogic 12c / IBM MQ 9.2,HL7 v2.8 / SOAP / SFTP,RDBMS,INFRA-HC-003,APP-HC-001|APP-HC-003|APP-HC-010,PRODUCTION,Laboratory Services,Cerner,High,Tier 2,Lab IT"
"APP-HC-007,Revenue Cycle Management,Home Grown,Microservices,Finance & Billing,Java 17 / Spring Boot 3.1,Oracle 19c / PostgreSQL 15,Apache Kafka 3.2 / Redis 7.0,REST API / EDI X12 / SFTP,RDBMS|Cache,INFRA-HC-002,APP-HC-001|APP-HC-004|APP-HC-015,PRODUCTION,Finance,N/A,Critical,Tier 1,Finance Technology"
"APP-HC-008,Patient Scheduling System,Home Grown,Web Application,Patient Access,Python 3.11 / Django 4.2,PostgreSQL 15,Celery 5.3 / Redis 7.0 / Nginx 1.24,REST API / HL7 FHIR R4 / OAuth 2.0,RDBMS|Cache,INFRA-HC-004,APP-HC-001|APP-HC-002|APP-HC-011,PRODUCTION,Patient Services,N/A,High,Tier 2,Patient Access IT"
"APP-HC-009,Medical Imaging & PACS,Third Party,Client-Server Application,Radiology,C++ 14 / Python 3.9,MongoDB 6.0,Orthanc 1.12 / Nginx 1.24,DICOM 3.0 / REST API / HL7 v2.8,NoSQL|File|Object,INFRA-HC-006,APP-HC-005|APP-HC-010,PRODUCTION,Radiology,Agfa HealthCare,High,Tier 2,Radiology IT"
"APP-HC-010,Clinical Decision Support System,Home Grown,Microservices,Clinical Operations,Python 3.11 / FastAPI 0.103,PostgreSQL 15 / MongoDB 6.0,Apache Kafka 3.2 / Redis 7.0,REST API / HL7 FHIR R4,RDBMS|NoSQL|Cache,INFRA-HC-009,APP-HC-001|APP-HC-005|APP-HC-006|APP-HC-009,PRODUCTION,Clinical Services,N/A,High,Tier 2,Clinical Informatics"
