Server Name,CPU Cores,Memory (MB),Provisioned Storage (GB),Is Virtual?,Hypervisor Type,Workload Type,Operating System,Environment
anyC-DC1,20,16,159.51,TRUE,VMware,Virtual Machine,Ubuntu,DEV
anyC-DC1-108013,16,16,159.51,TRUE,VMware,Virtual Machine,Windows,DEV
anyC-DC1-108218,16,16,159.32,TRUE,VMware,Virtual Machine,Windows,DEV
anyC-DC1-108220,20,16,159.32,TRUE,VMware,Virtual Machine,Windows,DEV
anyC-DC1-108222,20,16,159.32,TRUE,VMware,Virtual Machine,Windows,DEV
anyC-DC1-108224,20,16,159.32,TRUE,VMware,Virtual Machine,Windows,DEV
anyC3796 - WEBSAN SH1,4,4096,30.32,TRUE,VMWare,Virtual Machine,CentOS 4/5/6/7 (64-bit),PRODUCTION
anyC1168 - IF1,14,18432,150.01,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC1184 - IF2,14,18432,150.01,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC1253 - IF3,14,18432,150.01,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC1258 - IF4,14,18432,150.01,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC1447 -IF5,14,18432,150.01,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC1449 - IF6,14,18432,150.28,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC1454 -  IF7,14,18432,150,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC1497 -  IF8,14,18432,150.02,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC1563 -  IF9,14,18432,150.01,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
sbs-dev-redis02-master,4,15.66,392.95,TRUE,VMware,Virtual Machine,Ubuntu,DEV
sbs-prd-redis02-slave02,4,15.66,392.95,TRUE,VMware,Virtual Machine,Ubuntu,DEV
anyC3810 - SAN SH2,4,4096,31.68,TRUE,VMWare,Virtual Machine,CentOS 4/5/6/7 (64-bit),PRODUCTION
anyC4994 - MYSQL MASTER SH1,14,131072,1239.04,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 6 (64-bit),PRODUCTION
anyC4995 - MYSQL DATA SH1,14,131072,816.51,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 6 (64-bit),PRODUCTION
anyC4996 - MYSQL DATA SH2,14,98304,1402.88,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 6 (64-bit),PRODUCTION
anyC4258 - ES MASTER SH2,16,98304,200.68,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 6 (64-bit),PRODUCTION
anyC4274 - ES MASTER SH3,16,98304,201.14,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 6 (64-bit),DEV
anyC3796 - WEBSAN SH1,4,16384,30,TRUE,VMWare,Virtual Machine,CentOS 4/5/6/7 (64-bit),DEV
anyC2316 - WEBSAN IF1,4,12288,30.38,TRUE,VMWare,Virtual Machine,CentOS 4/5/6/7 (64-bit),DEV
anyC3938 - MAILROUTER SH1,4,8192,50.25,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),DEV
anyC1440 - MAILROUTER AC3,4,8192,50.26,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),TEST
anyC4231 - ES MASTER SH1,4,36864,201.02,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 6 (64-bit),TEST
anyC685 - WIZZIM IF1,6,16384,152.43,TRUE,VMWare,Virtual Machine,CentOS 4/5 (64-bit),DEV
anyC936 - WORKER IF1,6,32768,1505.28,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),DEV
anyC4791 - DOCKER_IF1,4,22528,300.26,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),TEST
anyC2822 - ES_MASTER_IF1,4,36864,800.7,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 6 (64-bit),DEV
anyC4231 - ES MASTER SH1,16,98304,212.74,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 6 (64-bit),PRODUCTION
anyC4599 - REDIS_IF1,4,16384,31.15,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),TEST
anyC4606 - IF  SLAVE4,22,167936,2529.28,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 6 (64-bit),PRODUCTION
anyC4607 - IF  SLAVE5,22,165888,2529.28,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 6 (64-bit),PRODUCTION
anyC1487 - PHP74 IF-PILOTE,12,18432,150,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC2234 - WEBPHP74 IF10,14,24576,150.01,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC4816 - WORKER IF5,4,12288,150.02,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC30 - PHP74 ORPI1,12,12288,150,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC104 - PHP74 ORPI2,12,12288,150,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC418 - PHP74 ORPI3,12,12288,150.01,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC580 - PHP74 ORPI4,12,12288,150,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC646 - PHP74 ORPI5,12,12288,150,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC1582 - PHP74 ORPI6,12,12288,150,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC1393 - PHP74 ORPI7,12,12288,150.01,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
TESTV4 - anyC1168,8,16384,150.02,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),TEST
anyC4342 - PHP74 IF,14,12288,150,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
TESTV5 - anyC30,2,2048,150.02,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),TEST
anyC3724 - REDIS_IF3,4,22528,30.01,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC3725 - REDIS_IF4,4,22528,30.03,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC5209 - REDIS_IF5,4,28672,30.01,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC5210 - REDIS_IF6,4,22528,32.44,TRUE,VMWare,Virtual Machine,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION
anyC2460 - LB RECETTE - NEW,2,4096,20.02,TRUE,VMWare,Virtual Machine,Debian GNU/Linux 8 (64-bit),PRODUCTION
