Infra_ID,Server_Name,App_Name,OS,CPU,Memory,Storage,Environment
INFRA-001,PROD-APP-01,OrderManager Pro,Windows Server 2012 R2,16,64,500,Production
INFRA-002,PROD-HR-01,HR Portal,Ubuntu 18.04 LTS,4,16,200,Production
INFRA-003,PROD-PAY-01,Payment Gateway,RHEL 8.6,8,32,300,Production
INFRA-004,PROD-WH-01,Inventory Tracker,Windows Server 2008 R2,8,32,1000,Production
INFRA-004,PROD-WH-01,Warehouse Management System,Windows Server 2008 R2,8,32,1000,Production
INFRA-005,PROD-NOTIFY-01,Email Notification Service,Ubuntu 22.04 LTS,4,8,100,Production
INFRA-006,PROD-ANALYTICS-01,Customer Analytics Dashboard,RHEL 7.9,8,64,500,Production
INFRA-006,PROD-ANALYTICS-01,HR Portal,RHEL 7.9,8,64,500,Production
INFRA-007,PROD-MF-01,Warehouse Management System,z/OS 2.4,24,128,2000,Production
INFRA-008,PROD-RPT-01,Legacy Reporting Engine,Windows Server 2003,4,16,400,Production
