resource_category,resource_role,resource_level,resource_charge
core,Project Manager,senior,250
core,Project technical lead,senior,250
core,Testing lead,senior,200
core,Application architect,senior,250
core,DevOps engineer,senior,300
core,AWS architect,senior,400
core,Operations lead,senior,250
support,Portfolio lead,senior,300
support,Migration consultant,senior,350
specialist ,Security,senior,350
support,"Legal, Commercial and compliance",senior,100
support,Finance ,senior,200
specialist ,Network specialist,senior,250
specialist ,Database specialist,senior,300
specialist ,Data Engineer,senior,350
specialist ,AI/ML specialist,senior,400
specialist ,Data Strategist,senior,500
specialist ,Data Scientist,senior,300
specialist ,VMWare specialist,senior,300
specialist ,SAP specialist,senior,400
