Asset_ID,Asset_Name,Asset_Type,Owner,Status,Hardware_Type,Serial_Number,Operating_System,IP_Address,Maintenance_Contract,Application_Name,Application_Version,License_Type,Criticality,Dependencies,Database_Name,Database_Type,Database_Size_GB,Backup_Schedule,Data_Classification,Data_Asset_Name,Data_Owner,Security_Patch_Level,Compliance_Status,Vulnerability_Score,Lifecycle_Stage,End_of_Life_Date
AST-001,Primary-ERP-Server,Infrastructure,IT Operations,Active,Physical Server,SRV-2023-A45612,Windows Server 2019,192.168.10.15,Active-2025,SAP ERP,6.0 EHP8,Enterprise,Critical,SQL-DB-001,ERP_Production_DB,MS SQL Server,2450,Daily-Midnight,Confidential,ERP Master Data,Finance Director,Current,Compliant,2.1,Production,2027-12-31
AST-002,CRM-Application-Server,Infrastructure,Marketing Dept,Active,Virtual Machine,VM-CRM-789234,Ubuntu 20.04 LTS,192.168.10.22,Active-2024,Salesforce CRM,Enterprise Edition,Subscription,High,CRM_Analytics_DB,CRM_Customer_DB,PostgreSQL,850,Daily-02:00,Confidential,Customer Records,Marketing Manager,Current,Compliant,1.8,Production,2025-06-30
AST-003,Legacy-HR-System,Application,Human Resources,Deprecated,Physical Server,SRV-2015-B33421,Windows Server 2012,192.168.10.48,Expired,PeopleSoft HRMS,9.1,Perpetual,Medium,HR_Personnel_DB,Personnel_Records_DB,Oracle 11g,340,Weekly-Sunday,Restricted,Employee Data,HR Director,Outdated,Non-Compliant,7.3,End-of-Life,2024-03-15
AST-004,Financial-Data-Warehouse,Database,Finance Dept,Active,Physical Server,SRV-2022-C78945,Red Hat Enterprise 8,192.168.10.30,Active-2026,N/A,N/A,N/A,Critical,ERP_Production_DB,Finance_Analytics_DW,Snowflake,5600,Hourly,Highly Confidential,Financial Reports,CFO,Current,Compliant,1.2,Production,2029-08-31
AST-005,Development-Web-Server,Infrastructure,Development Team,Active,Virtual Machine,VM-DEV-456123,Debian 11,192.168.20.15,Active-2024,Apache Tomcat,9.0.65,Open Source,Low,DEV_MySQL_DB,Development_Test_DB,MySQL,125,Daily-Evening,Internal,Development Codebase,Lead Developer,Current,Partially Compliant,4.5,Development,2026-11-30
AST-006,Email-Exchange-Server,Infrastructure,IT Operations,Active,Physical Server,SRV-2021-D12367,Windows Server 2022,192.168.10.12,Active-2025,Microsoft Exchange,2019 CU12,Enterprise,Critical,Email_Archive_DB,Exchange_Mailbox_DB,Exchange DB,1890,Daily-03:00,Confidential,Corporate Email Archive,IT Director,Current,Compliant,1.9,Production,2028-10-14
AST-007,Business-Intelligence-Platform,Application,Analytics Team,Active,Virtual Machine,VM-BI-234567,Windows Server 2019,192.168.10.55,Active-2025,Power BI Premium,2023.08,Subscription,High,Finance_Analytics_DW,BI_Metadata_DB,Azure SQL,420,Daily-01:00,Confidential,BI Reports Repository,Analytics Manager,Current,Compliant,2.3,Production,2026-12-31
AST-008,Customer-Portal-WebApp,Application,Customer Service,Active,Cloud Instance,AWS-EC2-987654,Amazon Linux 2,52.14.88.142,Active-2024,Node.js Application,16.14.2,Open Source,High,CRM_Customer_DB,Portal_Session_DB,MongoDB,280,Daily-04:00,Confidential,Customer Portal Data,Customer Service Manager,Current,Compliant,3.1,Production,2025-09-30
AST-009,Backup-Storage-Array,Infrastructure,IT Operations,Active,Storage Array,STG-2023-E56789,NetApp ONTAP,192.168.10.100,Active-2027,N/A,N/A,N/A,Critical,N/A,Backup_Catalogue_DB,N/A,45000,N/A,Mixed,Enterprise Backup Data,IT Operations Manager,Current,Compliant,1.5,Production,2030-06-30
AST-010,Mobile-App-Backend,Application,Mobile Development,Active,Cloud Instance,Azure-VM-445566,Ubuntu 22.04 LTS,10.0.5.28,Active-2025,React Native API,18.2.0,Open Source,High,Mobile_User_DB,Mobile_Analytics_DB,Firebase,156,Real-time,Confidential,Mobile User Profiles,Mobile Product Owner,Current,Compliant,2.8,Production,2026-03-31
AST-011,Legacy-Inventory-System,Application,Logistics Dept,Maintenance,Physical Server,SRV-2014-F99821,Windows Server 2008 R2,192.168.10.67,Expired,Custom Inventory App,2.5.1,Custom Built,Medium,Inventory_Legacy_DB,Warehouse_Stock_DB,MS Access,45,Daily-Midnight,Internal,Warehouse Inventory,Logistics Manager,Critical Outdated,Non-Compliant,8.9,Sunset,2024-06-30
AST-012,API-Gateway-Service,Infrastructure,IT Operations,Active,Virtual Machine,VM-GW-778899,Ubuntu 20.04 LTS,192.168.10.40,Active-2024,Kong Gateway,3.2.1,Enterprise,Critical,All Production DBs,API_Log_DB,Elasticsearch,680,Daily-02:30,Internal,API Traffic Logs,Infrastructure Lead,Current,Compliant,2.0,Production,2027-05-31
AST-013,Research-Data-Repository,Data,Research & Development,Active,Cloud Storage,S3-BUCKET-RD2023,N/A,N/A,Active-2026,N/A,N/A,N/A,Medium,N/A,Research_Metadata_DB,N/A,8900,Weekly,Restricted,Research Documents,R&D Director,N/A,Compliant,N/A,Production,2028-12-31
AST-014,QA-Testing-Environment,Infrastructure,QA Team,Active,Virtual Machine,VM-QA-334455,Windows 10 Enterprise,192.168.20.50,Active-2024,Selenium Grid,4.8.3,Open Source,Low,QA_Results_DB,QA_Test_Results_DB,PostgreSQL,95,Weekly,Internal,Test Automation Scripts,QA Manager,Current,Partially Compliant,5.2,Testing,2025-12-31
AST-015,Disaster-Recovery-Server,Infrastructure,IT Operations,Standby,Physical Server,SRV-2023-G11223,Windows Server 2022,192.168.50.10,Active-2027,Veeam Backup,12.0,Enterprise,Critical,Backup_Catalogue_DB,DR_Replication_DB,MS SQL Server,3200,Continuous,Mixed,DR Configuration Data,IT Director,Current,Compliant,1.4,Production,2029-01-31
