"Infra_id,Server Name,CPU Cores,Memory (MB),Provisioned Storage (GB),Is Virtual?,Hypervisor Type,Workload Type,Operating System,Environment,Owner_Team"
"INFRA-HC-001,hlth-web-prod-01,8,16384,200.00,TRUE,VMware,Web/App Server,Red Hat Enterprise Linux 9 (64-bit),PRODUCTION,Web Operations"
"INFRA-HC-002,hlth-ora-rac-prod-01,32,262144,4096.00,TRUE,VMware,Database Server,Oracle Linux 8 (64-bit),PRODUCTION,Database Administration"
"INFRA-HC-003,hlth-mssql-prod-01,24,196608,3072.00,TRUE,VMware,Database Server,Windows Server 2022 Standard (64-bit),PRODUCTION,Database Administration"
"INFRA-HC-004,hlth-pgsql-primary-prod-01,16,131072,2048.00,TRUE,VMware,Database Server,Red Hat Enterprise Linux 9 (64-bit),PRODUCTION,Database Administration"
"INFRA-HC-005,hlth-mysql-master-prod-01,12,65536,1024.00,TRUE,VMware,Database Server,CentOS Stream 8 (64-bit),PRODUCTION,Database Administration"
"INFRA-HC-006,hlth-mongo-replica-prod-01,16,98304,2048.00,TRUE,VMware,Database Server,Ubuntu 22.04 LTS,PRODUCTION,Database Administration"
"INFRA-HC-007,hlth-cass-node-prod-01,20,163840,4096.00,TRUE,VMware,Database Server,Red Hat Enterprise Linux 8 (64-bit),PRODUCTION,Database Administration"
"INFRA-HC-008,hlth-hadoop-namenode-prod-01,32,262144,8192.00,TRUE,VMware,Big Data Platform,Red Hat Enterprise Linux 8 (64-bit),PRODUCTION,Big Data Engineering"
"INFRA-HC-009,hlth-spark-master-prod-01,24,196608,4096.00,TRUE,VMware,Big Data Platform,Ubuntu 22.04 LTS,PRODUCTION,Big Data Engineering"
"INFRA-HC-010,hlth-kafka-broker-prod-01,16,98304,3072.00,TRUE,VMware,Big Data Platform,Red Hat Enterprise Linux 8 (64-bit),PRODUCTION,Big Data Engineering"
"INFRA-HC-011,hlth-nifi-cluster-prod-01,12,65536,1024.00,TRUE,VMware,ETL/Integration,Ubuntu 22.04 LTS,PRODUCTION,Data Integration"
"INFRA-HC-012,hlth-san-prod-01,N/A,N/A,102400.00,FALSE,N/A,Block Storage,NetApp ONTAP 9.13,PRODUCTION,Storage Operations"
"INFRA-HC-013,hlth-nas-prod-01,N/A,N/A,204800.00,FALSE,N/A,File Storage (Structured),Dell EMC Isilon OneFS 9.5,PRODUCTION,Storage Operations"
"INFRA-HC-014,hlth-obj-s3-prod-01,N/A,N/A,512000.00,FALSE,N/A,Object Storage (Unstructured),MinIO Enterprise RELEASE.2023-09,PRODUCTION,Storage Operations"
"INFRA-HC-015,hlth-lb-prod-01,4,8192,100.00,TRUE,VMware,Load Balancer,Red Hat Enterprise Linux 9 (64-bit),PRODUCTION,Network Operations"
"INFRA-HC-016,hlth-ora-dev-01,16,65536,1024.00,TRUE,VMware,Database Server,Oracle Linux 8 (64-bit),DEV,Database Administration"
"INFRA-HC-017,hlth-pgsql-dev-01,8,32768,512.00,TRUE,VMware,Database Server,Ubuntu 22.04 LTS,DEV,Database Administration"
"INFRA-HC-018,hlth-mssql-tst-01,8,32768,512.00,TRUE,VMware,Database Server,Windows Server 2022 Standard (64-bit),TEST,Database Administration"
"INFRA-HC-019,hlth-mongo-tst-01,8,32768,512.00,TRUE,VMware,Database Server,Ubuntu 22.04 LTS,TEST,Database Administration"
"INFRA-HC-020,hlth-spark-dev-01,12,65536,1024.00,TRUE,VMware,Big Data Platform,Ubuntu 22.04 LTS,DEV,Big Data Engineering"
